ENGLAND AND WALES WIDGET INFORMATION DECEMBER 2021,,,,,13.72,68.60,137.2,,,,,,,,,,Top 10,By Features,,,,,,Top 10,,By Price,,,,
319,195,-124,,Wirksworth BUA,Wirksworth,East Midlands,195,782,827,59,355,£350k-£650k,97,,,,,,,,,,,,,,,,,
209,196,-13,,Weedon Bec BUA,Weedon Bec,East Midlands,196,577,505,306,437,£350k-£650k,98,,,,,,,,,,,,,,,,,
52,197,145,,King's Lynn BUA,King's Lynn,East of England,197,109,1108,351,282,less than £350k,78,,,,,,,,,,,,,,,,,
668,198,-470,,Clevedon BUA,Clevedon,South West,198,389,749,283,350,£350k-£650k,99,,,,,,,,,,,,,,,,,
145,199,54,,Bristol BUASD,Bristol,South West,199,329,945,461,81,£350k-£650k,100,,,,,,,,,,,,,,,,,
191,200,9,,Bradford BUASD,Bradford,Yorkshire and Humberside,200,724,675,179,300,less than £350k,79,,,,,,,,,,,,,,,,,
150,200,50,,Minster (Thanet) BUASD,Minster (Thanet),South East,200,1139,62,187,824,£350k-£650k,101,,,,,,,,,,,,,,,,,
196,202,6,,Chester BUASD,Chester,North West,202,570,718,200,398,£350k-£650k,102,,,,,,,,,,,,,,,,,
48,203,155,,Luddenden Foot BUA,Luddenden Foot,Yorkshire and Humberside,203,382,141,97,1259,less than £350k,80,,,,,,,,,,,,,,,,,
557,204,-353,,Bloxham BUA,Bloxham,South East,204,1002,811,229,31,£350k-£650k,103,,,,,,,,,,,,,,,,,
172,205,33,,Colchester BUASD,Colchester,East of England,205,367,872,531,74,£350k-£650k,104,,,,,,,,,,,,,,,,,
271,206,-65,,Hackney,Hackney,Greater London,206,657,861,184,194,Over £650k,21,,,,,,,,,,,,,,,,,
279,207,-72,,Royal Leamington Spa BUASD,Royal Leamington Spa,West Midlands,207,538,769,223,360,£350k-£650k,105,,,,,,,,,,,,,,,,,
13,208,195,,Hay-on-Wye BUA,Hay-on-Wye,Wales,208,9,1279,24,887,£350k-£650k,106,,,,,,,,,,,,,,,,,
118,209,91,,Swanage BUA,Swanage,South West,209,36,1236,294,395,£350k-£650k,107,,,,,,,,,,,,,,,,,
309,210,-99,,Keynsham BUA,Keynsham,South West,210,245,546,692,264,£350k-£650k,108,,,,,,,,,,,,,,,,,
927,211,-716,,Alvechurch BUA,Alvechurch,West Midlands,211,602,397,797,73,£350k-£650k,109,,,,,,,,,,,,,,,,,
211,212,1,,Berkhamsted BUASD,Berkhamsted,East of England,212,13,1242,379,346,Over £650k,22,,,,,,,,,,,,,,,,,
421,213,-208,,Aylsham BUA,Aylsham,East of England,213,605,900,210,212,£350k-£650k,110,,,,,,,,,,,,,,,,,
96,214,118,,Kingsbridge BUA,Kingsbridge,South West,214,35,1048,55,1029,£350k-£650k,111,,,,,,,,,,,,,,,,,
384,215,-169,,Lincoln BUASD,Lincoln,East Midlands,215,613,686,316,246,less than £350k,81,,,,,,,,,,,,,,,,,
218,216,-2,,Diss BUASD,Diss,East of England,216,674,446,154,685,£350k-£650k,112,,,,,,,,,,,,,,,,,
251,217,-34,,Wooler BUA,Wooler,North East,217,105,697,397,682,less than £350k,82,,,,,,,,,,,,,,,,,
389,218,-171,,Royston BUASD,Royston,Yorkshire and Humberside,218,644,164,1031,106,less than £350k,83,,,,,,,,,,,,,,,,,
777,219,-558,,Acle BUA,Acle,East of England,219,446,1005,393,59,£350k-£650k,113,,,,,,,,,,,,,,,,,
179,220,41,,Margate BUASD,Margate,South East,220,756,256,181,828,£350k-£650k,114,,,,,,,,,,,,,,,,,
597,221,-376,,Morecambe BUASD,Morecambe,North West,221,284,349,759,406,less than £350k,84,,,,,,,,,,,,,,,,,
176,222,46,,Bridgwater BUA,Bridgwater,South West,222,221,853,319,490,less than £350k,86,,,,,,,,,,,,,,,,,
263,222,-41,,Bodmin BUA,Bodmin,South West,222,880,402,243,439,less than £350k,85,,,,,,,,,,,,,,,,,
413,224,-189,,Hyde (Tameside) BUASD,Hyde (Tameside),North West,224,363,334,836,265,less than £350k,87,,,,,,,,,,,,,,,,,
583,225,-358,,Workington BUASD,Workington,North West,225,748,95,564,695,less than £350k,88,,,,,,,,,,,,,,,,,
119,226,107,,Hexham BUA,Hexham,North East,226,343,1252,80,271,less than £350k,89,,,,,,,,,,,,,,,,,
231,227,-4,,Fakenham BUA,Fakenham,East of England,227,580,1091,193,133,£350k-£650k,115,,,,,,,,,,,,,,,,,
429,228,-201,,Broadstairs BUASD,Broadstairs,South East,228,840,253,630,256,£350k-£650k,116,,,,,,,,,,,,,,,,,
616,229,-387,,Merley BUASD,Merley,South West,229,323,272,491,811,£350k-£650k,117,,,,,,,,,,,,,,,,,
199,230,31,,Camden,Camden,Greater London,230,913,1149,11,181,Over £650k,23,,,,,,,,,,,,,,,,,
722,231,-491,,Great Harwood BUASD,Great Harwood,North West,231,531,268,671,486,less than £350k,90,,,,,,,,,,,,,,,,,
187,232,45,,Exeter BUASD,Exeter,South West,232,444,1089,224,175,£350k-£650k,118,,,,,,,,,,,,,,,,,
406,233,-173,,Odiham BUASD,Odiham,South East,233,714,768,117,444,Over £650k,24,,,,,,,,,,,,,,,,,
79,234,155,,Tonbridge BUA,Tonbridge,South East,234,91,1131,425,325,£350k-£650k,119,,,,,,,,,,,,,,,,,
183,235,52,,Sturry BUASD,Sturry,South East,235,368,317,174,1081,£350k-£650k,120,,,,,,,,,,,,,,,,,
455,236,-219,,Nelson (Pendle) BUASD,Nelson (Pendle),North West,236,197,206,618,942,less than £350k,91,,,,,,,,,,,,,,,,,
256,237,-19,,Durham BUA,Durham,North East,237,628,1171,264,32,less than £350k,92,,,,,,,,,,,,,,,,,
442,238,-204,,Bacup BUASD,Bacup,North West,238,580,120,396,991,less than £350k,93,,,,,,,,,,,,,,,,,
717,239,-478,,Kidlington BUASD,Kidlington,South East,239,168,798,783,132,£350k-£650k,121,,,,,,,,,,,,,,,,,
221,240,19,,Kendal BUASD,Kendal,North West,240,89,1100,204,676,£350k-£650k,122,,,,,,,,,,,,,,,,,
356,241,-115,,Gainsborough BUA,Gainsborough,East Midlands,241,829,321,212,700,less than £350k,94,,,,,,,,,,,,,,,,,
297,242,-55,,Kinver BUA,Kinver,West Midlands,242,599,426,454,463,£350k-£650k,123,,,,,,,,,,,,,,,,,
424,243,-181,,Street BUA,Street,South West,243,815,555,585,63,£350k-£650k,124,,,,,,,,,,,,,,,,,
123,244,121,,Ellesmere BUA,Ellesmere,West Midlands,244,329,1250,53,413,less than £350k,95,,,,,,,,,,,,,,,,,
160,245,85,,Maryport BUA,Maryport,North West,245,31,204,375,1317,less than £350k,96,,,,,,,,,,,,,,,,,
175,246,71,,Sittingbourne BUA,Sittingbourne,South East,246,558,628,493,273,£350k-£650k,125,,,,,,,,,,,,,,,,,
35,247,212,,Godstone BUA,Godstone,South East,247,86,215,340,1273,Over £650k,25,,,,,,,,,,,,,,,,,
244,248,4,,Netherton BUASD,Netherton,Yorkshire and Humberside,248,571,95,293,1163,less than £350k,97,,,,,,,,,,,,,,,,,
116,249,133,,Charlbury BUA,Charlbury,South East,249,93,1101,65,943,£350k-£650k,126,,,,,,,,,,,,,,,,,
395,250,-145,,Helston BUASD,Helston,South West,250,446,1239,159,128,£350k-£650k,127,,,,,,,,,,,,,,,,,
425,251,-174,,Consett BUASD,Consett,North East,251,438,236,692,576,less than £350k,98,,,,,,,,,,,,,,,,,
321,252,-69,,Newlyn BUASD,Newlyn,South West,252,85,456,213,1218,£350k-£650k,128,,,,,,,,,,,,,,,,,
134,253,119,,Combe Martin BUA,Combe Martin,South West,253,209,509,94,1196,£350k-£650k,129,,,,,,,,,,,,,,,,,
528,254,-274,,Wath upon Dearne BUASD,Wath upon Dearne,Yorkshire and Humberside,254,761,184,850,258,less than £350k,99,,,,,,,,,,,,,,,,,
528,255,-273,,Tredegar BUA,Tredegar,Wales,255,437,34,715,1084,less than £350k,100,,,,,,,,,,,,,,,,,
919,256,-663,,Failsworth BUASD,Failsworth,North West,256,326,166,983,541,less than £350k,101,,,,,,,,,,,,,,,,,
10,257,247,,Aldeburgh BUA,Aldeburgh,East of England,257,22,1036,118,1082,Over £650k,26,,,,,,,,,,,,,,,,,
433,258,-175,,Caistor BUA,Caistor,East Midlands,258,682,1195,60,233,less than £350k,102,,,,,,,,,,,,,,,,,
491,259,-232,,Chesham,Chesham,South East,259,446,608,480,386,Over £650k,27,,,,,,,,,,,,,,,,,
280,260,-20,,Loftus BUA,Loftus,North East,260,707,132,292,1028,less than £350k,103,,,,,,,,,,,,,,,,,
333,261,-72,,Brighouse BUASD,Brighouse,Yorkshire and Humberside,261,636,518,527,308,less than £350k,104,,,,,,,,,,,,,,,,,
1032,262,-770,,Saughall BUA,Saughall,North West,262,1159,74,823,214,£350k-£650k,130,,,,,,,,,,,,,,,,,
198,263,65,,Fishguard BUA,Fishguard,Wales,263,155,669,187,1019,less than £350k,105,,,,,,,,,,,,,,,,,
632,264,-368,,Boston Spa BUASD,Boston Spa,Yorkshire and Humberside,264,568,705,438,279,£350k-£650k,131,,,,,,,,,,,,,,,,,
541,265,-276,,Amesbury BUA,Amesbury,South West,265,568,286,767,390,£350k-£650k,132,,,,,,,,,,,,,,,,,
141,266,125,,Clitheroe BUA,Clitheroe,North West,266,322,1115,156,470,less than £350k,106,,,,,,,,,,,,,,,,,
351,267,-84,,Burton upon Trent BUASD,Burton upon Trent,West Midlands,267,612,532,528,331,less than £350k,107,,,,,,,,,,,,,,,,,
812,268,-544,,Oswaldtwistle BUASD,Oswaldtwistle,North West,268,638,48,779,848,less than £350k,108,,,,,,,,,,,,,,,,,
266,269,3,,Minehead BUA,Minehead,South West,269,158,987,365,515,£350k-£650k,133,,,,,,,,,,,,,,,,,
504,270,-234,,Clifton (Central Bedfordshire) BUASD,Clifton (Central Bedfordshire),East of England,270,716,240,731,356,£350k-£650k,134,,,,,,,,,,,,,,,,,
681,271,-410,,Plymstock BUASD,Plymstock,South West,271,119,338,1164,289,£350k-£650k,135,,,,,,,,,,,,,,,,,
430,272,-158,,Hirwaun BUA,Hirwaun,Wales,272,19,190,1040,971,less than £350k,109,,,,,,,,,,,,,,,,,
669,273,-396,,Blackwood BUASD,Blackwood,Wales,273,401,152,1043,436,less than £350k,110,,,,,,,,,,,,,,,,,
346,274,-72,,Thornton (Bradford) BUASD,Thornton (Bradford),Yorkshire and Humberside,274,1147,281,210,547,less than £350k,111,,,,,,,,,,,,,,,,,
216,275,59,,East Ayton BUA,East Ayton,Yorkshire and Humberside,275,20,568,532,1036,less than £350k,112,,,,,,,,,,,,,,,,,
416,276,-140,,Studley BUA,Studley,West Midlands,276,809,283,725,240,£350k-£650k,136,,,,,,,,,,,,,,,,,
367,277,-90,,Llanhilleth BUA,Llanhilleth,Wales,277,213,24,788,1272,less than £350k,113,,,,,,,,,,,,,,,,,
78,278,200,,Bruton BUA,Bruton,South West,278,901,885,8,610,£350k-£650k,137,,,,,,,,,,,,,,,,,
621,279,-342,,Nantyglo BUASD,Nantyglo,Wales,279,701,98,755,648,less than £350k,114,,,,,,,,,,,,,,,,,
507,280,-227,,Tring BUA,Tring,East of England,280,446,992,385,168,Over £650k,28,,,,,,,,,,,,,,,,,
201,280,79,,York BUASD,York,Yorkshire and Humberside,280,543,1065,149,402,£350k-£650k,138,,,,,,,,,,,,,,,,,
711,282,-429,,Grimsby BUASD,Grimsby,Yorkshire and Humberside,282,625,385,412,616,less than £350k,115,,,,,,,,,,,,,,,,,
33,283,250,,Westerham BUA,Westerham,South East,283,446,340,64,1207,Over £650k,29,,,,,,,,,,,,,,,,,
82,284,202,,Wolsingham BUA,Wolsingham,North East,284,59,670,182,1181,less than £350k,116,,,,,,,,,,,,,,,,,
664,285,-379,,Cwmbran BUASD,Cwmbran,Wales,285,203,331,1254,89,less than £350k,117,,,,,,,,,,,,,,,,,
354,285,-69,,Faringdon BUA,Faringdon,South East,285,985,989,137,124,£350k-£650k,139,,,,,,,,,,,,,,,,,
830,287,-543,,Capel St Mary BUA,Capel St Mary,East of England,287,714,297,573,466,£350k-£650k,140,,,,,,,,,,,,,,,,,
339,288,-51,,Petersfield BUA,Petersfield,South East,288,240,1292,324,112,Over £650k,30,,,,,,,,,,,,,,,,,
268,289,21,,Islington,Islington,Greater London,289,871,1030,71,304,Over £650k,31,,,,,,,,,,,,,,,,,
406,290,-116,,Colwyn Bay BUASD,Colwyn Bay,Wales,290,280,978,600,143,less than £350k,118,,,,,,,,,,,,,,,,,
458,290,-168,,Eccles BUASD,Eccles,North West,290,603,467,738,202,less than £350k,119,,,,,,,,,,,,,,,,,
242,292,50,,Gillingham BUASD,Gillingham,South East,292,210,474,453,869,£350k-£650k,141,,,,,,,,,,,,,,,,,
761,293,-468,,Abercynon BUA,Abercynon,Wales,293,277,102,757,1014,less than £350k,120,,,,,,,,,,,,,,,,,
893,294,-599,,Winslow BUA,Winslow,South East,294,1209,596,258,95,£350k-£650k,142,,,,,,,,,,,,,,,,,
329,295,-34,,Mirfield BUASD,Mirfield,Yorkshire and Humberside,295,400,647,686,215,less than £350k,122,,,,,,,,,,,,,,,,,
559,295,-264,,Stoke-on-Trent BUASD,Stoke-on-Trent,West Midlands,295,550,309,688,522,less than £350k,121,,,,,,,,,,,,,,,,,
636,297,-339,,Brundall BUASD,Brundall,East of England,297,101,757,855,331,£350k-£650k,143,,,,,,,,,,,,,,,,,
90,297,207,,Tenterden BUA,Tenterden,South East,297,446,1061,172,426,£350k-£650k,144,,,,,,,,,,,,,,,,,
53,299,246,,Keswick (Allerdale) BUA,Keswick (Allerdale),North West,299,6,1336,132,706,£350k-£650k,145,,,,,,,,,,,,,,,,,
716,299,-417,,Houghton-le-Spring BUASD,Houghton-le-Spring,North East,299,976,124,716,433,less than £350k,123,,,,,,,,,,,,,,,,,
58,301,243,,Southwold BUASD,Southwold,East of England,301,12,1068,33,1240,Over £650k,32,,,,,,,,,,,,,,,,,
382,302,-80,,Chippenham (Wiltshire) BUA,Chippenham (Wiltshire),South West,302,303,1059,350,343,£350k-£650k,146,,,,,,,,,,,,,,,,,
262,303,41,,Delph BUASD,Delph,North West,303,783,660,205,514,£350k-£650k,147,,,,,,,,,,,,,,,,,
276,304,28,,Southampton BUASD,Southampton,South East,304,339,966,637,104,£350k-£650k,148,,,,,,,,,,,,,,,,,
490,305,-185,,Heysham BUASD,Heysham,North West,305,326,269,583,885,less than £350k,124,,,,,,,,,,,,,,,,,
550,306,-244,,Porth BUASD,Porth,Wales,306,293,104,543,1194,less than £350k,125,,,,,,,,,,,,,,,,,
19,307,288,,Lenham BUA,Lenham,South East,307,446,464,77,1125,£350k-£650k,149,,,,,,,,,,,,,,,,,
523,308,-215,,Ashton-under-Lyne BUASD,Ashton-under-Lyne,North West,308,387,548,569,506,less than £350k,126,,,,,,,,,,,,,,,,,
665,309,-356,,Gorleston-on-Sea BUASD,Gorleston-on-Sea,East of England,309,212,342,1002,471,less than £350k,127,,,,,,,,,,,,,,,,,
115,310,195,,Saltburn-by-the-Sea BUA,Saltburn-by-the-Sea,North East,310,24,488,354,1240,less than £350k,128,,,,,,,,,,,,,,,,,
487,311,-176,,Benson BUA,Benson,South East,311,160,1305,82,590,£350k-£650k,150,,,,,,,,,,,,,,,,,
207,312,105,,Christchurch BUASD,Christchurch,South West,312,63,929,679,493,£350k-£650k,151,,,,,,,,,,,,,,,,,
726,312,-414,,Chapel-en-le-Frith BUA,Chapel-en-le-Frith,East Midlands,312,662,981,620,20,£350k-£650k,152,,,,,,,,,,,,,,,,,
358,314,-44,,Teynham BUA,Teynham,South East,314,829,176,290,975,£350k-£650k,153,,,,,,,,,,,,,,,,,
360,315,-45,,Barnsley BUASD,Barnsley,Yorkshire and Humberside,315,746,279,617,493,less than £350k,129,,,,,,,,,,,,,,,,,
243,316,73,,Rhymney BUASD,Rhymney,Wales,316,546,129,401,1126,less than £350k,130,,,,,,,,,,,,,,,,,
111,317,206,,Addingham BUA,Addingham,Yorkshire and Humberside,317,78,852,102,1179,£350k-£650k,154,,,,,,,,,,,,,,,,,
370,318,-52,,Stafford BUASD,Stafford,West Midlands,318,129,728,832,373,less than £350k,131,,,,,,,,,,,,,,,,,
392,318,-74,,Stow-on-the-Wold BUA,Stow-on-the-Wold,South West,318,446,993,31,818,£350k-£650k,155,,,,,,,,,,,,,,,,,
193,320,127,,Ringmer BUA,Ringmer,South East,320,446,889,325,413,£350k-£650k,156,,,,,,,,,,,,,,,,,
613,321,-292,,Cobham (Elmbridge) BUA,Cobham (Elmbridge),South East,321,402,872,818,40,Over £650k,33,,,,,,,,,,,,,,,,,
99,322,223,,Royal Tunbridge Wells BUASD,Royal Tunbridge Wells,South East,322,446,1139,172,379,Over £650k,34,,,,,,,,,,,,,,,,,
654,323,-331,,Basingstoke BUASD,Basingstoke,South East,323,542,689,1006,21,£350k-£650k,157,,,,,,,,,,,,,,,,,
751,324,-427,,Ogmore Vale BUASD,Ogmore Vale,Wales,324,622,37,626,1134,less than £350k,132,,,,,,,,,,,,,,,,,
177,325,148,,Preston BUASD,Preston,North West,325,368,972,246,544,less than £350k,133,,,,,,,,,,,,,,,,,
865,326,-539,,Fence Houses BUASD,Fence Houses,North East,326,1028,15,1250,338,less than £350k,134,,,,,,,,,,,,,,,,,
546,327,-219,,Llandudno Junction BUASD,Llandudno Junction,Wales,327,182,389,944,544,£350k-£650k,158,,,,,,,,,,,,,,,,,
319,328,9,,Alton (East Hampshire) BUA,Alton (East Hampshire),South East,328,446,1034,254,390,£350k-£650k,159,,,,,,,,,,,,,,,,,
299,329,30,,Knaresborough BUASD,Knaresborough,Yorkshire and Humberside,329,335,1109,305,363,£350k-£650k,160,,,,,,,,,,,,,,,,,
619,329,-290,,Kidsgrove BUASD,Kidsgrove,West Midlands,329,615,292,919,284,less than £350k,135,,,,,,,,,,,,,,,,,
778,331,-447,,Yarnton BUA,Yarnton,South East,331,873,522,652,110,£350k-£650k,161,,,,,,,,,,,,,,,,,
49,332,283,,Carnforth BUASD,Carnforth,North West,332,10,879,570,847,less than £350k,136,,,,,,,,,,,,,,,,,
347,333,-14,,Bournemouth BUASD,Bournemouth,South West,333,423,851,598,179,£350k-£650k,162,,,,,,,,,,,,,,,,,
521,334,-187,,Wendover BUASD,Wendover,South East,334,243,827,675,324,Over £650k,35,,,,,,,,,,,,,,,,,
304,335,31,,Worthing BUASD,Worthing,South East,335,132,1172,756,92,£350k-£650k,163,,,,,,,,,,,,,,,,,
83,336,253,,Mere BUA,Mere,South West,336,446,1185,47,606,£350k-£650k,164,,,,,,,,,,,,,,,,,
147,337,190,,Lymington BUASD,Lymington,South East,337,139,1079,548,396,Over £650k,36,,,,,,,,,,,,,,,,,
482,338,-144,,Bury BUASD,Bury,North West,338,696,144,567,853,less than £350k,137,,,,,,,,,,,,,,,,,
286,339,53,,Newhaven BUA,Newhaven,South East,339,39,782,822,598,£350k-£650k,165,,,,,,,,,,,,,,,,,
516,340,-176,,Portsmouth BUASD,Portsmouth,South East,340,413,1025,255,454,£350k-£650k,166,,,,,,,,,,,,,,,,,
822,341,-481,,Stockton-on-Tees BUASD,Stockton-on-Tees,North East,341,853,375,735,182,less than £350k,138,,,,,,,,,,,,,,,,,
374,342,-32,,Queenborough BUASD,Queenborough,South East,342,404,49,751,1132,less than £350k,139,,,,,,,,,,,,,,,,,
708,343,-365,,Frodsham BUA,Frodsham,North West,343,1045,536,339,292,£350k-£650k,167,,,,,,,,,,,,,,,,,
253,344,91,,Warminster BUA,Warminster,South West,344,359,964,309,504,£350k-£650k,168,,,,,,,,,,,,,,,,,
886,344,-542,,Gateshead BUASD,Gateshead,North East,344,827,530,690,109,less than £350k,140,,,,,,,,,,,,,,,,,
112,346,234,,Horncastle BUA,Horncastle,East Midlands,346,177,1363,21,482,less than £350k,141,,,,,,,,,,,,,,,,,
875,347,-528,,Stoke Mandeville BUASD,Stoke Mandeville,South East,347,738,654,918,15,£350k-£650k,169,,,,,,,,,,,,,,,,,
311,348,37,,Lambeth,Lambeth,Greater London,348,818,1123,125,251,Over £650k,37,,,,,,,,,,,,,,,,,
691,349,-342,,Hale (Trafford) BUASD,Hale (Trafford),North West,349,803,434,618,308,Over £650k,38,,,,,,,,,,,,,,,,,
558,350,-208,,Tamworth BUASD,Tamworth,West Midlands,350,548,486,785,308,less than £350k,142,,,,,,,,,,,,,,,,,
794,351,-443,,Frampton Cotterell/Winterbourne BUASD,Frampton Cotterell/Winterbourne,South West,351,372,419,839,431,£350k-£650k,170,,,,,,,,,,,,,,,,,
139,352,213,,Wotton-under-Edge BUA,Wotton-under-Edge,South West,352,446,482,49,1210,£350k-£650k,171,,,,,,,,,,,,,,,,,
379,353,-26,,Greenwich BUASD,Greenwich,Greater London,353,431,1208,441,67,Over £650k,39,,,,,,,,,,,,,,,,,
538,353,-185,,Aylesbury BUASD,Aylesbury,South East,353,445,714,819,108,£350k-£650k,172,,,,,,,,,,,,,,,,,
576,355,-221,,Duffield BUASD,Duffield,East Midlands,355,356,883,388,503,£350k-£650k,173,,,,,,,,,,,,,,,,,
408,356,-52,,Stowmarket BUASD,Stowmarket,East of England,356,922,320,454,548,£350k-£650k,174,,,,,,,,,,,,,,,,,
880,357,-523,,Worsbrough BUASD,Worsbrough,Yorkshire and Humberside,357,793,17,1135,726,less than £350k,143,,,,,,,,,,,,,,,,,
264,358,94,,Crewkerne BUA,Crewkerne,South West,358,686,805,66,785,£350k-£650k,175,,,,,,,,,,,,,,,,,
502,359,-143,,Milnthorpe BUA,Milnthorpe,North West,359,68,748,543,867,less than £350k,144,,,,,,,,,,,,,,,,,
656,360,-296,,Gosport BUASD,Gosport,South East,360,331,638,626,501,£350k-£650k,176,,,,,,,,,,,,,,,,,
443,361,-82,,Wakefield BUASD,Wakefield,Yorkshire and Humberside,361,911,732,615,42,less than £350k,145,,,,,,,,,,,,,,,,,
427,362,-65,,Bolton BUASD,Bolton,North West,362,789,376,539,510,less than £350k,146,,,,,,,,,,,,,,,,,
533,363,-170,,Amersham,Amersham,South East,363,446,1229,621,14,Over £650k,40,,,,,,,,,,,,,,,,,
574,364,-210,,Ashington (Northumberland) BUA,Ashington (Northumberland),North East,364,604,36,1170,657,less than £350k,147,,,,,,,,,,,,,,,,,
781,365,-416,,Eastwood BUASD,Eastwood,East Midlands,365,1029,166,865,259,less than £350k,148,,,,,,,,,,,,,,,,,
671,366,-305,,Newbiggin-by-the-Sea BUA,Newbiggin-by-the-Sea,North East,366,254,26,1167,1061,less than £350k,149,,,,,,,,,,,,,,,,,
609,367,-242,,Tonypandy BUASD,Tonypandy,Wales,367,351,91,744,1096,less than £350k,150,,,,,,,,,,,,,,,,,
1071,368,-703,,Jarrow BUASD,Jarrow,North East,368,745,290,1061,105,less than £350k,151,,,,,,,,,,,,,,,,,
246,369,123,,Brierfield BUASD,Brierfield,North West,369,187,419,683,835,less than £350k,152,,,,,,,,,,,,,,,,,
785,370,-415,,Fleetwood BUA,Fleetwood,North West,370,765,70,851,751,less than £350k,153,,,,,,,,,,,,,,,,,
127,371,244,,Cleobury Mortimer BUA,Cleobury Mortimer,West Midlands,371,215,1360,113,280,less than £350k,154,,,,,,,,,,,,,,,,,
273,372,99,,Forest Row BUASD,Forest Row,South East,372,446,1065,356,283,£350k-£650k,177,,,,,,,,,,,,,,,,,
568,373,-195,,Woodend BUASD,Woodend,Yorkshire and Humberside,373,869,8,1103,890,less than £350k,155,,,,,,,,,,,,,,,,,
790,374,-416,,Baildon BUASD,Baildon,Yorkshire and Humberside,374,365,323,941,491,£350k-£650k,178,,,,,,,,,,,,,,,,,
577,374,-203,,Brynmawr BUASD,Brynmawr,Wales,374,446,584,848,224,less than £350k,156,,,,,,,,,,,,,,,,,
833,376,-457,,Murton (County Durham) BUA,Murton (County Durham),North East,376,840,3,1264,796,less than £350k,157,,,,,,,,,,,,,,,,,
628,377,-251,,Bassingbourn BUA,Bassingbourn,East of England,377,1226,86,216,998,£350k-£650k,179,,,,,,,,,,,,,,,,,
344,378,34,,St Blazey BUASD,St Blazey,South West,378,446,806,469,421,£350k-£650k,180,,,,,,,,,,,,,,,,,
224,379,155,,Wisbech BUASD,Wisbech,East of England,379,787,1006,322,165,less than £350k,158,,,,,,,,,,,,,,,,,
289,380,91,,New Tredegar BUA,New Tredegar,Wales,380,228,81,606,1286,less than £350k,159,,,,,,,,,,,,,,,,,
417,381,-36,,Littleborough BUASD,Littleborough,North West,381,291,301,534,1048,less than £350k,160,,,,,,,,,,,,,,,,,
316,381,65,,Hertford BUASD,Hertford,East of England,381,560,1319,202,111,Over £650k,41,,,,,,,,,,,,,,,,,
202,383,181,,Somerton (South Somerset) BUA,Somerton (South Somerset),South West,383,1040,872,178,278,£350k-£650k,181,,,,,,,,,,,,,,,,,
514,384,-130,,Middlesbrough BUASD,Middlesbrough,North East,384,619,306,901,381,less than £350k,161,,,,,,,,,,,,,,,,,
586,385,-201,,Asfordby BUA,Asfordby,East Midlands,385,792,112,271,1189,less than £350k,162,,,,,,,,,,,,,,,,,
272,386,114,,Newington BUA,Newington,South East,386,766,230,267,1051,£350k-£650k,182,,,,,,,,,,,,,,,,,
394,387,-7,,Staines,Staines,South East,387,430,1043,711,55,Over £650k,42,,,,,,,,,,,,,,,,,
284,388,104,,Leeds BUASD,Leeds,Yorkshire and Humberside,388,596,1029,486,145,less than £350k,163,,,,,,,,,,,,,,,,,
391,389,-2,,Cwm BUA,Cwm,Wales,389,169,29,803,1352,less than £350k,164,,,,,,,,,,,,,,,,,
366,390,24,,Honiton BUA,Honiton,South West,390,225,1025,594,358,£350k-£650k,183,,,,,,,,,,,,,,,,,
326,390,64,,Stockport BUASD,Stockport,North West,390,565,668,478,540,£350k-£650k,184,,,,,,,,,,,,,,,,,
462,390,-72,,Croesowallt BUA,Croesowallt,West Midlands,390,968,428,237,721,less than £350k,165,,,,,,,,,,,,,,,,,
898,390,-508,,Swallownest BUASD,Swallownest,Yorkshire and Humberside,390,1150,63,1059,233,less than £350k,166,,,,,,,,,,,,,,,,,
1133,394,-739,,Seer Green,Seer,South East,394,446,536,900,245,Over £650k,43,,,,,,,,,,,,,,,,,
694,395,-299,,Lees BUASD,Lees,North West,395,850,238,585,651,less than £350k,167,,,,,,,,,,,,,,,,,
560,396,-164,,Andover BUASD,Andover,South East,396,413,644,901,163,£350k-£650k,185,,,,,,,,,,,,,,,,,
519,397,-122,,Gravesend BUASD,Gravesend,South East,397,318,611,734,478,£350k-£650k,186,,,,,,,,,,,,,,,,,
203,397,194,,Telford BUASD,Telford,West Midlands,397,357,887,685,226,less than £350k,168,,,,,,,,,,,,,,,,,
348,399,51,,Rhyl BUASD,Rhyl,Wales,399,298,97,905,1024,less than £350k,169,,,,,,,,,,,,,,,,,
662,400,-262,,Bridgend BUASD,Bridgend,Wales,400,256,1042,934,44,less than £350k,170,,,,,,,,,,,,,,,,,
282,401,119,,Penrith BUA,Penrith,North West,401,594,1340,133,99,less than £350k,172,,,,,,,,,,,,,,,,,
536,401,-135,,Newcastle upon Tyne BUASD,Newcastle upon Tyne,North East,401,815,951,424,114,less than £350k,171,,,,,,,,,,,,,,,,,
738,403,-335,,Radcliffe BUASD,Radcliffe,North West,403,573,280,720,694,less than £350k,173,,,,,,,,,,,,,,,,,
763,404,-359,,Farnborough BUASD,Farnborough,South East,404,407,746,1072,30,£350k-£650k,187,,,,,,,,,,,,,,,,,
1100,405,-695,,Wallsend BUASD,Wallsend,North East,405,876,218,1039,190,less than £350k,174,,,,,,,,,,,,,,,,,
603,406,-197,,Gnosall BUA,Gnosall,West Midlands,406,399,121,587,1152,less than £350k,175,,,,,,,,,,,,,,,,,
361,407,46,,Poole BUASD,Poole,South West,407,239,1103,877,63,£350k-£650k,189,,,,,,,,,,,,,,,,,
